ab_id,batter_id,event,g_id,inning,o,p_score,p_throws,pitcher_id,stand,top
2015000001,572761,Groundout,201500001,1,1,0,L,452657,L,True
2015000002,518792,Double,201500001,1,1,0,L,452657,L,True
2015000003,407812,Single,201500001,1,1,0,L,452657,R,True
2015000004,425509,Strikeout,201500001,1,2,0,L,452657,R,True
2015000005,571431,Strikeout,201500001,1,3,0,L,452657,L,True
2015000006,451594,Double,201500001,1,0,1,R,425794,L,False
2015000007,624585,Groundout,201500001,1,1,1,R,425794,R,False
2015000008,519203,Strikeout,201500001,1,2,1,R,425794,L,False
2015000009,516770,Groundout,201500001,1,3,1,R,425794,R,False
2015000010,425877,Strikeout,201500001,2,1,0,L,452657,R,True
2015000011,543939,Walk,201500001,2,1,0,L,452657,L,True
2015000012,445055,Single,201500001,2,1,0,L,452657,L,True
2015000013,425794,Strikeout,201500001,2,2,0,L,452657,R,True
2015000014,572761,Single,201500001,2,2,0,L,452657,L,True
2015000015,518792,Runner Out,201500001,2,3,0,L,452657,L,True
2015000016,458085,Double,201500001,2,0,2,R,425794,L,False
2015000017,592609,Strikeout,201500001,2,1,2,R,425794,R,False
2015000018,424325,Flyout,201500001,2,2,2,R,425794,R,False
2015000019,452657,Strikeout,201500001,2,3,2,R,425794,L,False
2015000020,518792,Double,201500001,3,0,0,L,452657,L,True
2015000021,407812,Groundout,201500001,3,1,0,L,452657,R,True
2015000022,425509,Strikeout,201500001,3,2,0,L,452657,R,True
2015000023,571431,Groundout,201500001,3,3,0,L,452657,L,True
2015000024,600303,Single,201500001,3,0,2,R,425794,L,False
2015000025,451594,Flyout,201500001,3,1,2,R,425794,L,False
2015000026,624585,Strikeout,201500001,3,2,2,R,425794,R,False
2015000027,519203,Strikeout,201500001,3,3,2,R,425794,L,False
2015000028,425877,Walk,201500001,4,0,0,L,452657,R,True
2015000029,543939,Forceout,201500001,4,1,0,L,452657,L,True
2015000030,445055,Strikeout,201500001,4,2,0,L,452657,L,True
2015000031,425794,Groundout,201500001,4,3,0,L,452657,R,True
2015000032,516770,Groundout,201500001,4,1,2,R,425794,R,False
2015000033,458085,Groundout,201500001,4,2,2,R,425794,L,False
2015000034,592609,Groundout,201500001,4,3,2,R,425794,R,False
2015000035,572761,Single,201500001,5,0,0,L,452657,L,True
2015000036,518792,Single,201500001,5,0,0,L,452657,L,True
2015000037,407812,Single,201500001,5,0,0,L,452657,R,True
2015000038,425509,Pop Out,201500001,5,1,0,L,452657,R,True
2015000039,571431,Strikeout,201500001,5,2,0,L,457435,L,True
2015000040,425877,Intent Walk,201500001,5,2,0,L,457435,R,True
2015000041,543939,Strikeout,201500001,5,3,0,L,457435,L,True
2015000042,424325,Double,201500001,5,0,3,R,425794,R,False
2015000043,471083,Lineout,201500001,5,1,3,R,425794,L,False
2015000044,600303,Flyout,201500001,5,2,3,R,425794,L,False
2015000045,451594,Strikeout,201500001,5,3,3,R,425794,L,False
2015000046,445055,Flyout,201500001,6,1,0,R,435400,L,True
2015000047,425794,Pop Out,201500001,6,2,0,R,435400,R,True
2015000048,572761,Groundout,201500001,6,3,0,R,435400,L,True
2015000049,624585,Lineout,201500001,6,1,3,R,425794,R,False
2015000050,519203,Groundout,201500001,6,2,3,R,425794,L,False
2015000051,516770,Single,201500001,6,2,3,R,425794,R,False
2015000052,458085,Flyout,201500001,6,3,3,R,425794,L,False
2015000053,518792,Groundout,201500001,7,1,0,R,519166,L,True
2015000054,407812,Strikeout,201500001,7,2,0,R,519166,R,True
2015000055,425509,Single,201500001,7,2,0,R,519166,R,True
2015000056,571431,Pop Out,201500001,7,3,0,R,519166,L,True
2015000057,592609,Groundout,201500001,7,1,3,R,593372,R,False
2015000058,570489,Walk,201500001,7,1,3,R,593372,L,False
2015000059,471083,Strikeout,201500001,7,2,3,R,593372,L,False
2015000060,600303,Groundout,201500001,7,3,3,R,593372,L,False
2015000061,425877,Strikeout,201500001,8,1,0,R,467008,R,True
2015000062,543939,Groundout,201500001,8,2,0,R,467008,L,True
2015000063,445055,Double,201500001,8,2,0,R,467008,L,True
2015000064,448602,Strikeout,201500001,8,3,0,R,467008,R,True
2015000065,451594,Strikeout,201500001,8,1,3,R,477229,L,False
2015000066,624585,Groundout,201500001,8,2,3,R,477229,R,False
2015000067,519203,Walk,201500001,8,2,3,R,477229,L,False
2015000068,516770,Strikeout,201500001,8,3,3,R,477229,R,False
2015000069,572761,Flyout,201500001,9,1,0,R,444468,L,True
2015000070,518792,Lineout,201500001,9,2,0,R,444468,L,True
2015000071,407812,Walk,201500001,9,2,0,R,444468,R,True
2015000072,425509,Flyout,201500001,9,3,0,R,444468,R,True
2015000073,458085,Strikeout,201500001,9,1,3,R,572096,L,False
2015000074,592609,Strikeout,201500001,9,2,3,R,572096,R,False
2015000075,570489,Strikeout,201500001,9,3,3,R,572096,L,False
2015000076,594777,Strikeout,201500002,1,1,0,R,433587,L,True
2015000077,545361,Home Run,201500002,1,1,0,R,433587,R,True
2015000078,405395,Strikeout,201500002,1,2,0,R,433587,R,True
2015000079,459964,Strikeout,201500002,1,3,0,R,433587,L,True
2015000080,457706,Groundout,201500002,1,1,1,R,450308,R,False
2015000081,452234,Double,201500002,1,1,1,R,450308,L,False
2015000082,429664,Groundout,201500002,1,2,1,R,450308,L,False
2015000083,443558,Pop Out,201500002,1,3,1,R,450308,R,False
2015000084,501896,Strikeout,201500002,2,1,0,R,433587,R,True
2015000085,430947,Groundout,201500002,2,2,0,R,433587,L,True
2015000086,543068,Pop Out,201500002,2,3,0,R,433587,R,True
2015000087,572122,Groundout,201500002,2,1,1,R,450308,L,False
2015000088,489149,Pop Out,201500002,2,2,1,R,450308,L,False
2015000089,572287,Flyout,201500002,2,3,1,R,450308,R,False
2015000090,455104,Pop Out,201500002,3,1,0,R,433587,R,True
2015000091,543213,Groundout,201500002,3,2,0,R,433587,R,True
2015000092,594777,Lineout,201500002,3,3,0,R,433587,L,True
2015000093,554429,Pop Out,201500002,3,1,1,R,450308,L,False
2015000094,543543,Lineout,201500002,3,2,1,R,450308,L,False
2015000095,457706,Double,201500002,3,2,1,R,450308,R,False
2015000096,452234,Triple,201500002,3,2,1,R,450308,L,False
2015000097,429664,Single,201500002,3,2,1,R,450308,L,False
2015000098,443558,Forceout,201500002,3,3,1,R,450308,R,False
2015000099,545361,Strikeout,201500002,4,1,2,R,433587,R,True
